study,study6,study8,study9,study10,study11,study12,condition,punonly,helponly,helpfirst,TG,q1correct,q2correct,q3correct,q4correct,q5correct,q6correct,q7correct,compscore,perfectcomp,compscoreTG,perfectcompTG,postqcorrect,crt,highcrt,help,punish,return,anger,bad,deservep,outrage,compassion,deserves,good,posemot,age,male,edu,income,NFC,FII
9,0,0,1,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,3,1,,1,,11,22,56,30,,,,,27,0,5,5,,
11,0,0,0,0,1,0,Punishment + Helping,0,0,1,1,0,1,1,0,1,1,0,2,0,2,0,,,,1,0,90,,,,,,,,,54,1,6,8,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,0,1,,,,3,0,,,1,3,1,1,0,,70,,,70,,,,,21,1,4,2,2,4
10,0,0,0,1,0,0,Punishment Only,1,0,,1,0,1,1,1,1,0,1,3,0,2,0,,,,,1,50,,,,,,,,,23,0,5,4,2,2
11,0,0,0,0,1,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,,,,0,50,,,,,,,,,39,0,5,3,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,1,3,1,1,0,,30,,,30,,,,,43,0,5,3,2,3
12,0,0,0,0,0,1,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,,,,0,50,,,,,,,,,40,0,5,3,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,0,0,1,1,,,,2,0,,,0,0,0,,0,,20,,,20,,,,,42,1,6,9,3,3
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,0,0,0,1,,,,1,0,,,0,1,0,1,1,,0,,,0,,,,,34,1,5,8,4,5
10,0,0,0,1,0,0,Punishment Only,1,0,,0,0,0,1,0,,,,1,0,,,,1,0,,0,,,,,,,,,,23,0,5,1,5,5
10,0,0,0,1,0,0,Punishment Only,1,0,,1,1,0,1,1,1,1,1,3,0,3,1,,2,1,,1,50,,,,,,,,,32,0,5,2,1,3
10,0,0,0,1,0,0,Punishment + Helping,0,0,1,0,1,0,1,1,,,,3,0,,,,1,0,0,0,,,,,,,,,,42,1,6,10,3,1
11,0,0,0,0,1,0,Punishment Only,1,0,,1,0,0,1,0,1,1,1,1,0,3,1,,,,,1,50,,,,,,,,,22,1,2,3,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,1,1,0,0,0,0,1,0,1,0,0,2,0,,2,1,1,0,20,,,,,,,,,55,0,4,6,3,4
6,1,0,0,0,0,0,Punishment Only,1,0,,0,0,1,1,0,,,,2,0,,,0,0,0,,0,,80,,,80,,,,,55,0,2,6,3,3
11,0,0,0,0,1,0,Punishment Only,1,0,,1,0,1,1,1,0,1,1,3,0,2,0,,,,,1,40,,,,,,,,,21,1,5,1,,
12,0,0,0,0,0,1,Helping Only,0,1,,1,0,1,1,1,1,1,1,3,0,3,1,,,,1,,50,,,,,,,,,34,1,4,8,,
10,0,0,0,1,0,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,3,1,,0,0,,,,,,,,,30,0,5,7,2,3
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,0,1,0,1,0,,30,,,30,,,,,40,1,6,7,2,2
